path,transcript,duration,transcript_pred,pred_strings_with_ctc,pred_strings_with_lm
d0b5985f5104dafc6151a69c3bb03f73.wav,besar dan merangkumi pelbagai aspek maknanya bukan saja yang berkaitan,5.64,besar dan merangkumi pelbagai aspek maknanya bukan sada yang berkaitan,besar dan merangkumi pelbagai aspek maknanya bukan sada yang berkaitan,neh k ber esa r a ar aha a a a a a adang memerang ku mi perle bangai aha s perk atsa dayan emak na nyan abu kan sesha diar yang bere kai tangn
a2481d8bd7b2444c2659117c5fe6125d.wav,sekali lagi dia cukup best aku tak suruh kita letak dekat bi segitiga,5.934,sekali lagi dia upa beslakunak suu kita letak dekat b seg3,sekali lagi dia upa bes laku nak suu kita letak dekat b seg3,sasanas asha se ka li la gi adian hnh memen cum pat best elak akut nak suruh ki tan len tak den ka at smantana ama bingyi smsas smsps ser gih tig gar musata
c9235390772bde384c3d02ab0ffcce17.wav,kalau dia tak ada apa jumpa pun tak mahu,4.009,kalau dia tak ada apa jumpa pun tak mahu,kalau dia tak ada apa jumpa pun tak mahu,kea a aea a ae kekal lau dia tak adak a panh kasama aea ae jum a panh apun tak emah huh hahahahahaha
a6286534e94499774d4bf6d8cd67e9ed.wav,apa yang kita nak capai tu kita nak dia buat,5.384,apa yang kita nak capai tu kita nak dia buat,apa yang kita nak capai tu kita nak dia buat,sahak eseka pa yang kir etal rara esene enak ecam pai ituk kese e e e e e e e e e e e e e eae kir etan enak adia buat kemanta
cfac511e9b1b127319cce3fcc7039990.wav,jalan mana yang patut kamu pilih,3.221,jalan mana yang patut kamu bilik,jalan mana yang patut kamu bilik,se eae jan alang emak nanh ayang eme pan n tu t kekan mun bil li kh neie
0c3e423f5406cf201a0dfd80736c2145.wav,kita nampak besar kita rasa besar sangat sebab kita boleh membunuh,5.343,kita nampak besar kita rasa besar sangat sebab kita boleh membunuh,kita nampak besar kita rasa besar sangat sebab kita boleh membunuh,kekiri etal enam apak ber esa ar kekaki tal berak sa eber esa ar sangat sts s sasa saeta s sa sese abab akir eta abol leh mem bun nuh akan
f3d6adee3ef07519bd92fd91f7053dca.wav,mat over duwara suluh,6.31,madan abaduhuwa rasuluh,madan abaduhuwa rasuluh,miem meme memar adang mamam mamam ama ama a ama amam amkhar rwb a abar a dul hul awar ru rans s sul luah hahahahaha
f3e1b774835af3294b6b9b037456d5b3.wav,alamat di madinah yang dia beramal dengan apa yang dia ketahui,5.623,al amal bimaalima ia dia beramal dengan apa yang dia ketahui,al amal bi maalima ia dia beramal dengan apa yang dia ketahui,akaka ahal la ha ma la dasma bin mang hal li manh amana a a a a a a a a a a andian adia ber ha mal dengan a pa ayang adia ke ta hu wink iaiai
f34cbb39b09dae3af19d8396553d83ca.wav,kesan bilik darjah yang biasa di sekolah dalam tempoh pkp,4.396,patasan bilik darjah yang biasa di sekolah dalam tempoh pkp,patasan bilik darjah yang biasa di sekolah dalam tempoh pkp,par tak san meme bil li ek enda r n ja h nayang mambia sa di sekol lah eae ded deda lam tem poh epi k a perai
e4e3aa32c78cab459cce879e82d93285.wav,aplikasi kedengaran itu bahasa dan maksud syarat jadi cerita menghantar bahan dibaca dalam,6.138,peringkat penengaran ni dibaca dan masik sarat jadi ceta menghantar bahan dia baca dalam,peringkat penengaran ni dibaca dan masik sarat jadi ceta menghantar bahan dia baca dalam,aea aea ama penring kat pendengan ran nia edia bah cak dan mansik sya rat kaeta aenea jan dia chakri kul len tak amanan meng hang ta r aba hang nea eae adia ba cak da lam an
0318c5c9155f64325ace89be12c51bf5.wav,barulah kita nampak jalan kenapa tak so sebab tu bila kita solat benda ni datang saja jah biarkan,6.802,barulah kita nampak jalan nampak tak so sebab tu bila kita solat benda ni datang anya just biarkan,barulah kita nampak jalan nampak tak so sebab tu bila kita solat benda ni datang anya just biarkan,e ekeke e emba ru lah ki ta nam pak ja lan kena m pak tak setoh ese bab itu bi la ki ta sol lela t ses s e e ben da inia da tang banyak pesen just sese eae eae ea bi a r kangn
2bad74213f2a853d94f177485e66b9fb.wav,diam tak bererti untuk handle benda ni yang lebih berkesan,5.663,diam sat perati untuk handel benda ni yang lebih berkesan,diam sat perati untuk handel benda ni yang lebih berkesan,aea adadi ya m shararat aea aea perhati tik papung tuk kaha nd delil aben dar inia seasa a a a anayang lelele abi h aber ke sanana an
918ff86baaff38db00e8228c233e60fa.wav,kita minta ni dahlah minta allah bagi tapi buat buat macam tak nampak,5.852,kita minta ni dahlah minta allah bagi tapi buat buat macam tak nampak,kita minta ni dahlah minta allah bagi tapi buat buat macam tak nampak,aea aea aea eki tan emin t tank inia ese eda h lelah emin tank kasa akal lah aba agin na sete eteta pi buat buat ma cam tak nam apa k keket
