path,transcript,duration,transcript_pred,pred_strings_with_ctc,pred_strings_with_lm
60b28de9c563e90a8c058e5a7f0ae4e6.wav,salam cikgu tube dan sumber sumber yang kita boleh dapat daripada semua sebuah antarabangsa sebab internet kali ini,5.645,dalam cikgu t dan sembua sumber yang kita berih dapat daripada semua sebuah antara berangsa sebab ademik covid ini,dalam cikgu tub dan sembua sumber yang kita berih dapat daripada semua sebuah antara berangsa sebab ademik covid ini,da ala m e cik gu ethu ube a keadan sembur sumber yang ki ta berih da pat da ri pa da aha semua semuah an tara berang sah sese bab akan der mik cond vide si nines
2e23a570785c3ccaf20f1fa8b32ff881.wav,kalau nak tahu untuk kita ubah kehidupan kita untuk kita gunakan sebagai,5.52,kalau nak tahu untuk kita ubah kehidupan kita untuk kita gunakan sebagai,kalau nak tahu untuk kita ubah kehidupan kita untuk kita gunakan sebagai,aea aea eae eka lau nak ta huna kepun tuk eki tab kpu mbah ken hid du apan eki etak pun tuk eki eta gu na kan sese mba gai khanat
6ba0cbcfa82e11edb690e88b6ef65fa7.wav,kalau ada pisang tepi jalan tu beli tak kisah nabi dalam perjalanan,5.404,kalau ada pisang keapa tebi jalan tu beli cok pisanlah bagi bidah dalam berjalanan,kalau ada pisang keapa tebi jalan tu beli cok pisanlah bagi bidah dalam berjalanan,kaka aea aea aea aek kalau a danh epin sang ake apal terbina ja lan tun aber link in cuak pis sang alah seban gik sasemas enah abia dah da lam berja la nan nananan
53ea56f924349e0ab0b959125a0bc685.wav,kenapa tak esok nampak tak cerita di dalam alam batin,6.588,kenapa tak su napa tak kita di dalam alam batin,kenapa tak su napa tak kita di dalam alam batin,kea ea ae e e a a e e kena pak tak kek kekatak a tkts tks a s tst se ts sksat seasa seasa sesesuah nam pak tak kake kir tar adia da lam ahal lam bat ti ngenaken
564a56e9b9fa9fd31751bb8471784f20.wav,mak kat rumah aku dari orang terawal tengok pinjam delete alamak,5.003,sebab kucaa oaku daje oang ta awal tan tengor filem menda ni klama,sebab kucaa o aku da je oang ta awal tan tengor filem menda ni klama,sas sese bab ku cak awah ah sasakul hoh hak aku dah jerar orang atak a wal atang tengok afil lem men da nik sts selah sin kat hah la mak ah
b7025bc4fbb61eab7169c8f96dd70c4f.wav,ini tak betul saya bagi tahu awal awal apa yang saya share dengan apa semua ni bukan sesuatu yang,5.759,ini tak betul saya bagi tahu awal wal apa yang saya shar dengan apa semua ni bukan sesuatu yang,ini tak betul saya bagi tahu awal wal apa yang saya shar dengan apa semua ni bukan sesuatu yang,sa inia tak ber tul saya bagi ta hu al awal awal ala seasa sesa pa ayang saya share dengan hang par se mua inia sese bu aka an ese sua tu ayangan
5695e07ad44f71c8f4b27057a572bd40.wav,siap dah semua alah minta kita pula kalau buat salah,5.855,siap dah semua allah minta kita paat kalau buat salah,siap dah semua allah minta kita paat kalau buat salah,kaka a a a a a e a sesiap adah se mua sesesama a a a a a asal alah ming tak kaki tak apar hal t kekes e e s kea kal alau a buat sal lah gnin
a96cf3533bc0ce2731572d6b78c6767a.wav,berapa kuantiti baju semua sekali yang dekat bawah ni lepas tu dia bagi tahu berapa jumlah customer yang,6.016,berapa kontiti baju semua sekali yang dekat baru ni lepas tu dia bagi tahu berapa jumlah customer yang,berapa kontiti baju semua sekali yang dekat baru ni lepas tu dia bagi tahu berapa jumlah customer yang,bera pa koan ti thire eban juh sese mua se ka alina anayang de kat baru nia eae eal lele pas tuh dia ba gi tahu bera apan a jump lah eku s tor mer ayangan
3961cb8d2df12b9e62e8b792534a321c.wav,kelas kita hari ini yang pertama kita nak bercakap tentang bagaimana roh gerak,6.687,kelas kita hari ini yang pertama kita nak bercakap tentang bagaimana roh gerak,kelas kita hari ini yang pertama kita nak bercakap tentang bagaimana roh gerak,kea eae aea aea aea eke lah s eki tah hari inia seasa esayang per ta ma ki ta enak aber cag kap eten ta ang emese eba gai ma na aha keroh a keg ger rak akan
7d76ddf3fc749300c4266dcffd704c58.wav,suami nak tidur bini duk picit kepala korek telinga ke,5.938,suami duk tidur bini duk p picik kepala korekter linga ka,suami duk tidur bini duk p picik kepala korekter linga ka,sasu ami duk tin dur roar psps samsam bia nin duduk papa pbit pirk pir chik ke pan lah papst asasan tatadan ak a a aea a a aea kakou reck ter te lingor akah katainen
5ce96d15dffc53b37cd5ee7d1b94df07.wav,min dia punya langkah makan atau pengajaran juga haji dam tu pun,6.318,nindia punya langkah makan ada pengajaran juga hajidam tu pun,nindia punya langkah makan ada pengajaran juga hajidam tu pun,ama a a a meni ng diang punya elang aka h mak kan semesa aea a a a a a a a a a e eka dan pengan ja ran ju ga har jid da mg itu pun ahah hah hah hahaha
d1c21379c79f0dcadc9846a8cdcbf6c5.wav,perkampungan bagi mereka yang berprestasi sederhana pegang kertas,5.564,program program bagi mereka yang berpestasi sedahana program keterhu,program program bagi mereka yang berpestasi sedahana program keterhu,a aea program pro gra am bla bagi merek ka yang ber perias tat sih sen dahar nar rh sem ea esene ata program aema a ker tera hutan
8036392e3edf6c7ec3b77327ea0553ad.wav,jadi dekat skrin dia macam mana kita nak apa,6.621,jadi dekat scrin dia macam mana kita nak apa,jadi dekat scrin dia macam mana kita nak apa,eae ese e e ese e e e enja di der kat sese khri ne dian sese ea a a a a a a a a a a a a a e ema acam ma na eki ta enak kea aea aeta apal hahahahahahaha
3740798c7528b99931238b79acc19830.wav,sekadar tengok member hangpa dengan muka ceria,4.16,sekadar tengok member hampa dengan muka ceria,sekadar tengok member hampa dengan muka ceria,sese eser kan ada ara este ngo k meme m aber hang apar adengan emu g kah aecer ri yah hrh a aea aea a
